STT,BỐI CẢNH,NỘI DỤNG - VOICE,TEXT  MÀN HÌNH,NOTE
"Kịch bản 1: Ba câu bố mẹ hay hỏi - không mẫu - voice thật · Thời lượng 38 giây · Quay dọc 9:16 1080x1920 tại quầy tư vấn 71 Thiên Hiền · Máy quay: một máy bất kỳ trong danh sách 36 máy được viết · Quầy có hai ghế cùng phía bàn, dựng đúng cảnh phụ huynh đi cùng con · Ánh sáng đều, không đèn màu · Phụ đề bắt buộc · ⛔ Không ghi giá, không ghi tên máy lên video, không dựng cảnh người bán chỉ tay thuyết phục, không nói hộ suy nghĩ của bố mẹ theo kiểu chê bai",,,,
1,"Cận mặt quầy tư vấn thật, một máy mở nắp đang bật, hai ghế kê cùng phía bàn, ghế còn trống","""Bố mẹ không phản đối chiếc máy.""","Bố mẹ phản đối chữ ""cũ"".","0–4s (HOOK) · không quay mặt người, chỉ bàn tay và cái ghế trống"
2,"Người bán ngồi xuống, tay mở nắp máy, bật nguồn","""Câu một: người ta dùng hỏng rồi mới bán? Câu này không cãi được bằng lời. Nên đừng cãi.""","1 · ""Dùng hỏng rồi mới bán?""","4–11s · nói bình thường, không hạ giọng kiểu tranh luận"
3,Cắt nhanh 4 nhịp: màn ảnh trắng kín màn · màn ảnh đen kín màn · bàn tay gõ một lượt hết bàn phím · tay cắm dây vào từng cổng,"""Bật máy lên. Soi màn bằng ảnh trắng, rồi ảnh đen. Gõ hết một lượt bàn phím. Cắm thử từng cổng.""","Soi ngay tại quầy, trước khi trả tiền.","11–18s · mỗi nhịp khoảng 1,5 giây, cắt thẳng, không hiệu ứng"
4,"Máy quay giữ nguyên trên quầy, chữ hiện dần 4 dòng bên phải khung","""Câu hai: hỏng thì ai sửa? Câu này quan trọng nhất. Hỏi bốn câu, bắt người bán nói thành số.""",2 · Bảo hành bao lâu? · Bảo hành bộ phận nào? · Pin riêng bao lâu? · Đổi trả mấy ngày?,18–26s · CẢNH CHÍNH — dành nhiều đất nhất
5,Cận bàn tay đặt tờ giấy bảo hành xuống mặt quầy,"""Bên mình: sáu tháng cho bo mạch, màn hình, bàn phím. Pin ba tháng. Mười lăm ngày đổi sang máy khác.""",6 tháng main · màn · phím — pin 3 tháng — 15 ngày đổi máy,"26–33s · đọc chậm, đây là đoạn người xem chụp màn hình"
6,"Lùi ra thấy cả hai ghế cùng phía bàn, máy mở giữa bàn","""Câu ba: sao không mua mới? Mua mới cũng là lựa chọn đúng. Rủ bố mẹ đến xem tận nơi rồi quyết.""",Gửi video này cho bố mẹ xem cùng.,"33–38s (CHỐT) · ⛔ không thêm CTA inbox, bài này chỉ có một CTA là gửi cho bố mẹ"
"Kịch bản 2: Đo bằng cái balo của bạn - không mẫu - voice thật · Thời lượng 34 giây · Quay dọc 9:16 1080x1920 tại 71 Thiên Hiền · Máy quay: ba máy cỡ 13,3 inch, 14 inch và 15,6 inch trong danh sách 36 máy được viết, đặt cùng một mặt bàn · Cần thêm một quyển vở A4 và một balo đi học thật làm mốc so sánh · Ba máy phải cùng khung, cùng khoảng cách ống kính, không ghép hình · Phụ đề bắt buộc · ⛔ Không ghi giá, không ghi tên máy lên video, KHÔNG nói và KHÔNG ghi cân nặng máy vì shop chưa cân máy nào",,,,
1,"Ba máy mở nắp xếp cạnh nhau theo thứ tự nhỏ đến to trên cùng mặt bàn, quyển vở A4 đặt ngay cạnh làm mốc","""Màn to hơn không phải màn tốt hơn. Nó là màn cần nhiều chỗ hơn.""",Màn to hơn ≠ màn tốt hơn,0–4s (HOOK) · quay từ trên xuống một góc nhẹ để thấy rõ chênh lệch thật
2,"Tay đặt quyển vở A4 lên cạnh máy 13,3 inch, so trực tiếp","""Mười ba inch: đặt vừa cái bàn gấp trong giảng đường. Đổi lại, xếp hai cửa sổ cạnh nhau sẽ chật.""","13 – 13,3 inch — vừa bàn gấp giảng đường",4–12s
3,"Chuyển sang máy 14 inch, tay mở hai cửa sổ xếp cạnh nhau trên màn","""Mười bốn inch: cỡ ở giữa, và là cỡ phổ biến nhất ở dòng máy doanh nhân. Vẫn bỏ balo đi học được.""",14 inch — cỡ ở giữa,12–20s · CẢNH CHÍNH — phần lớn người xem sẽ chọn cỡ này
4,"Chuyển sang máy 15,6 inch, thấy rõ nó chiếm gần hết chiều ngang bàn","""Mười lăm phẩy sáu: nhìn bảng biểu dễ nhất. Đổi lại, chiếm nhiều mặt bàn, và không phải balo nào cũng bỏ vừa.""","15,6 inch — nhiều chỗ nhất, chiếm nhiều bàn nhất",20–27s
5,"Tay cho máy vào balo đi học thật rồi kéo khoá, quay cận chỗ khoá kéo","""Hôm ghé cửa hàng, mang đúng cái balo bạn đang dùng. Cho máy vào, kéo khoá. Chuyện đó không đoán được qua ảnh.""",Thử bằng đúng cái balo của bạn.,"27–32s · nếu kéo không vừa thì quay luôn cảnh đó, đừng chọn balo rộng cho dễ"
6,"Ba máy lại nằm cùng khung, tay rút chiếc ở giữa ra","""Chọn sai cỡ thì máy cấu hình tốt cỡ nào bạn cũng để nó ở nhà.""",Comment ngành bạn học + tuần mang máy đi mấy buổi.,32–34s (CHỐT)
"Kịch bản 3: Dưới 10 triệu vẫn có 16GB RAM - không mẫu - voice thật · Thời lượng 36 giây · Quay dọc 9:16 1080x1920 tại 71 Thiên Hiền · Máy quay: Dell Latitude 7390 2in1 16GB, Dell Latitude 7420 vỏ carbon, Dell Latitude 5310 2in1 — đúng ba máy này, đặt cùng một mặt bàn · Giá chỉ hiện ở chữ trên màn, người nói không đọc giá · Phụ đề bắt buộc · ⛔ Không quay chiếc 7420 vỏ carbon ở thế gập xoay hay chạm tay lên màn vì tên máy đó không có cảm ứng, không nói ""còn hàng"" hay ""còn mấy máy"", không nói ""giá tốt nhất"", không ghép ảnh máy lấy trên mạng",,,,
1,"Ba máy mở nắp xếp cạnh nhau trên bàn, ống kính đi ngang qua cả ba","""Chưa tới mười triệu. Nhiều bạn nghĩ tầm này là phải chịu RAM tám GB.""",Dưới 10 triệu,0–4s (HOOK)
2,"Giữ nguyên khung ba máy, chữ hiện hai dòng","""Nói thẳng trước: hạ ngân sách xuống dưới mười triệu, thứ phải nhường là đời chip và dung lượng ổ. Thứ giữ được là RAM.""",Nhường: đời chip · ổ cứng — Giữ được: RAM,"4–11s · nói phần bất lợi trước, không cắt"
