STT	BỐI CẢNH	NỘI DỤNG - VOICE	TEXT MÀN HÌNH	NOTE
Kịch bản 1: Sai lầm nhìn chữ i7 - không mẫu - voice thật				
1	Ngón tay chỉ thẳng vào dòng chữ Intel Core i7 đang hiện trên màn hình máy thật (Windows → Settings → System → About)	"Mua laptop cũ, ai cũng hỏi đúng một câu: máy này i mấy?"	MÁY NÀY I MẤY?	0–3s (HOOK). 3 giây đầu quan trọng nhất. Hình phải chỉ đúng chữ i7 ngay giây 0 — không chào hỏi, không intro.
2	Hai máy đặt cạnh nhau, hai màn hình cùng mở mục About — một máy hiện i7-8665U, một máy hiện i7-1185G7	"Nghe i7 là gật. Nhưng i7 đời 8 và i7 đời 11 cách nhau ba thế hệ."	i7 đời 8 ≠ i7 đời 11	3–9s. Chỉ nói KHÁC ĐỜI CHIP. ⛔ Không nói máy nào nhanh hơn máy nào — shop chưa đo hiệu năng.
3	Cuộn xuống đúng dòng Installed RAM trong cùng cửa sổ đó	"Chữ i7 không nói máy có bao nhiêu RAM, ổ cứng loại gì, màn hình còn tốt không."	i7 không nói RAM · ổ cứng · màn hình	9–15s. Cuộn tới dòng Installed RAM, dừng 2 giây cho người xem đọc kịp.
4	6 chữ overlay hiện lần lượt, mỗi chữ kèm một cảnh cắt nhanh: màn hình · bàn phím gõ thử · tay gập máy	"Nhìn đủ sáu thứ: đời chip, RAM, ổ cứng, màn hình, bàn phím, và bảo hành ghi mấy tháng."	1 Đời chip · 2 RAM · 3 Ổ cứng · 4 Màn hình · 5 Bàn phím · 6 Bảo hành	15–22s. 6 chữ hiện lần lượt, mỗi chữ ~1 giây, kèm cảnh cắt nhanh. Đổi hình liên tục ở đoạn này.
5	Cận cảnh ngón tay gõ gõ vào chữ i7 rồi lắc đầu	"i7 là tên một dòng chip, không phải lời hứa máy chạy tốt."	i7 là một dòng chip. Không phải lời hứa.	22–27s (CHỐT). Câu mang đi được — người xem không cần nhớ thông số nào.
6	Chữ overlay lớn	"Theo dõi trang, mai mình nói tiếp."	THEO DÕI TRANG	27–30s (CTA). Đúng 1 CTA. ⛔ Không gắn "inbox chốt đơn" — bài này chỉ để tiếp cận người chưa biết shop, gắn chốt đơn là giết lượt tiếp cận.
				
Kịch bản 2: Gập xoay để làm gì? - không mẫu - voice thật				
1	Một cú lật liền mạch: tay đẩy màn hình quay trọn 360 độ ra sau lưng máy	"Chữ gập xoay trên tên máy nghĩa là cái này."	GẬP XOAY LÀ CÁI NÀY	0–3s (HOOK). Cú lật 360 độ chính là cả cái hook — quay lại vài lần, lấy cú mượt nhất, quay hơi chậm.
2	Overlay 1 · 2 · 3	"Ba kiểu dùng mà máy thường không làm được."	3 kiểu dùng	3–7s. Đánh số ngay để người xem biết còn bao xa mà ở lại.
3	Máy gập phẳng như tấm bảng, đặt trên đùi người ngồi, ngón tay vuốt cuộn một trang PDF thật	"Một — gập hẳn ra sau thành bảng. Đặt lên đùi trong giảng đường, đọc tài liệu, lật trang bằng ngón tay."	1 · Gập phẳng thành bảng	7–15s. ⛔ Lật trang bằng NGÓN TAY. Máy này KHÔNG kèm bút cảm ứng — không cho bút vào khung hình.
4	Máy dựng kiểu lều trên một góc bàn nhỏ, màn đang phát video	"Hai — dựng hình chữ A. Ngồi bàn chật, quán cà phê, vẫn xem được video và họp online."	2 · Dựng hình chữ A	15–22s. Dùng góc bàn nhỏ thật tại shop, không dựng bối cảnh giả.
5	Cận cảnh hai ngón tay chụm/mở trên một bảng Excel thật. Overlay giá xuất hiện lúc này	"Ba — màn cảm ứng, zoom bảng Excel bằng hai ngón như điện thoại."	3 · Màn cảm ứng — zoom 2 ngón · Dell Latitude 7400 2in1 · 10.680.000đ	22–27s. Nếu zoom Excel 2 ngón không mượt trên máy thật → BỎ ý 3, đổi thành vuốt cuộn trang web. Không dựng giả.
6	Ba tư thế cắt nhanh liền nhau	"Không phải ai cũng cần. Nhưng cần rồi thì máy thường không thay được."	Không phải ai cũng cần.	27–31s (CHỐT). Được phép nói "bạn không cần" — đúng giọng tư vấn thật, không ép mua.
7	Chữ overlay	"Comment ngành bạn học, mình nói có cần không."	COMMENT NGÀNH BẠN HỌC	31–33s (CTA). Đúng 1 CTA. ⛔ Không thêm "inbox" hay "theo dõi trang" — hai CTA cùng lúc là sai.
				
Kịch bản 3: 3 thứ soi trong 30 giây đầu - có mẫu - voice thật				
1	Cho xem kết quả trước: màn hình đang hiện sẵn dòng Installed RAM 16.0 GB — quay cận, chữ đọc được	"Chỗ này mới nói thật về chiếc máy bạn sắp mua."	Installed RAM 16,0 GB	0–3s (HOOK). Cho xem KẾT QUẢ trước. Chữ trên màn phải đọc được rõ ngay giây 0.
2	Lùi ra, thấy tay đang cầm máy thật trên bàn test. Overlay 1 · 2 · 3	"Ba thứ phải soi khi cầm máy cũ lên. Ba mươi giây là đủ."	3 thứ · 30 giây	3–7s. Đánh số ngay.
3	Quay tay thao tác thật: bấm Start → Settings → System → About. Dừng lại 2 giây ở dòng chip và dòng RAM	"Một — cấu hình thật. Settings, System, About. Đọc dòng chip và dòng RAM. So với lời người bán vừa nói. Lệch một chữ là dừng lại hỏi."	1 · CẤU HÌNH THẬT · Settings → System → About	7–16s. Thao tác THẬT, quay một mạch. Dừng 2 giây ở dòng chip và dòng RAM.
4	Mở ảnh trắng toàn màn → cắt → ảnh đen toàn màn. Camera rê ngang mặt màn	"Hai — màn hình. Mở một ảnh trắng kín màn, rồi một ảnh đen. Điểm chết, vệt sọc, chỗ ám vàng lộ ra hết."	2 · MÀN HÌNH · Ảnh trắng rồi ảnh đen	16–25s. Lau sạch màn trước khi quay — vân tay dễ bị hiểu nhầm là lỗi màn.
5	Quay từ trên xuống, ngón tay chạy hết bàn phím, các ô trên trang test sáng dần	"Ba — bàn phím. Mở một trang test phím, gõ hết một lượt từ Esc đến mũi tên. Phím nào không ăn, bạn thấy ngay."	3 · BÀN PHÍM · Gõ hết một lượt	25–36s. Mở sẵn trang test phím. Quay từ trên xuống, thấy các ô sáng dần.
6	Người thật ngẩng lên nhìn camera	"Ba thứ này không cần biết gì về máy tính. Cứ soi kỹ, không ai giục bạn đâu."	Soi bên mình cũng được.	36–41s (CHỐT). ⛔ Không nêu số phút khách được ngồi thử máy — chưa có fact (câu 3 chờ chủ shop).
7	Chữ overlay + icon lưu	"Lưu lại, hôm đi xem máy mở ra soi."	LƯU LẠI	41–44s (CTA). Đúng 1 CTA. ⛔ Không gắn giá, không gắn link sản phẩm — bài này chỉ để người xem hiểu vấn đề, chưa phải bài bán.
				
Kịch bản 4: Máy cũ chậm dần không phải vì nó cũ - không mẫu - voice thật				
1	Tay tháo nốt con ốc cuối, nhấc nắp lưng lên — lộ quạt và khe tản nhiệt bám bụi	"Máy cũ chậm dần không phải vì nó cũ."	Không phải vì máy cũ	0–3s (HOOK). Mở nắp lưng ngay giây 0 — hình phải lộ bụi thật, không dàn dựng.
2	Overlay 1 · 2 · 3, camera lia dọc bo mạch	"Phần lớn là ba thứ này, và cả ba đều sửa được."	3 thứ — cả 3 đều sửa được	3–7s. Đánh số ngay.
3	Cận cảnh lớp bụi dày ở khe gió. Thổi/hút thử cho bụi bay	"Một — bụi bám kín khe tản nhiệt. Quạt vẫn quay, nhưng hơi nóng không thoát ra được."	1 · BỤI BÍT KHE TẢN NHIỆT	7–16s. Cảnh thổi bụi tự nó giữ người xem — quay chậm đoạn này.
4	Nhấc tấm đồng ra, chỉ vào lớp keo xám nứt. Cắt sang tuýp keo mới, bóp một giọt	"Hai — keo tản nhiệt khô. Lớp keo giữa chip và tấm đồng chai lại sau vài năm, dẫn nhiệt kém đi."	2 · KEO TẢN NHIỆT KHÔ	16–26s. Quay chậm đoạn nhấc tấm đồng và đoạn bóp keo. ⛔ Không đọc số nhiệt độ — shop chưa đo.
5	Overlay chữ chạy: nóng → tự hạ tốc → bạn thấy ì	"Ba — máy nóng thì tự hạ tốc để khỏi hỏng. Bạn thấy nó ì, tưởng máy già."	nóng → tự hạ tốc → bạn thấy ì	26–32s. ⛔ Không nói "chậm đi X%" — không có nguồn nào.
6	Lắp lại nắp lưng, vặn ốc, bật máy — máy lên nguồn	"Vệ sinh và tra keo lại là xong. Bên mình làm miễn phí trọn đời cho máy mua tại shop."	Vệ sinh · tra keo · cài Windows · MIỄN PHÍ TRỌN ĐỜI (máy mua tại shop)	32–38s (CHỐT). ⛔ TUYỆT ĐỐI không nói "máy nào bán ra cũng đã tra keo". Lời thoại phải rõ đây là DỊCH VỤ BẢO DƯỠNG, không phải quy trình trước khi bán.
7	Chữ overlay	"Gửi cho đứa bạn đang kêu máy chậm."	GỬI CHO ĐỨA BẠN ĐANG KÊU MÁY CHẬM	38–40s (CTA). Đúng 1 CTA. ⛔ Không "mua ngay", không giá — bài này chỉ để tạo niềm tin, chưa phải bài bán.
				
Kịch bản 5: Bạn có 15 ngày để đổi ý - có mẫu - voice thật				
1	Tay đặt máy xuống mặt quầy, đẩy nhẹ về phía người bán	"Mua máy cũ xong, về nhà thấy không hợp thì sao?"	Về nhà thấy không hợp thì sao?	0–3s (HOOK). Người thật nhìn thẳng camera. Giọng bình thản.
2	Người thật nhìn camera, quầy phía sau	"Đây là chỗ nhiều người ngại nhất khi mua máy cũ. Nên mình nói thẳng."	Nói thẳng	3–8s. Không hạ giọng khi sắp sang phần bất lợi.
